,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
683,Chris Price,18,3,0,0,,1.44,2.59,48.0,0.0,0.0,2.2,85.71429
456,Chris Sanford,5,1,0,0,,0.23,3.22,17.0,0.0,0.0,3.5,83.333336
1945,Chris Saunders,9,3,0,0,,1.48,2.96,75.0,3.7,100.0,0.0,75.0
2222,Chris Spang,5,2,0,0,,1.83,1.95,60.0,0.0,0.0,0.9,71.42857
1944,Chris Tickle,7,5,0,0,,1.07,1.13,43.0,1.0,25.0,2.0,58.33333199999999
1552,Chris Tuchscherer,21,4,0,1,"76""",1.35,3.17,47.0,1.19,18.0,0.6,80.76923000000001
2840,Chris Wade,12,3,0,0,"70""",1.7,1.75,51.0,2.6,51.0,1.1,80.0
1628,Chris Weidman,14,4,0,0,"78""",3.15,3.23,51.0,3.76,52.0,1.0,77.77778
878,Chris Wilson,16,8,0,1,"75""",2.32,1.36,55.0,1.31,50.0,1.6,64.0
3283,Chris de la Rocha,4,2,0,0,"80""",4.28,5.51,46.0,2.41,27.0,1.6,66.666664
1637,Christian Morecraft,7,3,0,0,"81""",2.82,2.46,46.0,3.26,66.0,2.2,70.0
611,Christian Wellisch,8,5,0,0,"77""",3.12,3.04,56.0,1.22,42.0,1.2,61.53846
4156,Christina Marks,8,9,0,0,"69""",5.0,3.0,64.0,7.5,100.0,0.0,47.058823
271,Chuck Liddell,21,8,0,0,"76""",2.97,2.71,56.0,0.44,75.0,0.0,72.413795
1615,Chuck O'Neil,9,4,0,0,,3.13,4.4,72.0,0.0,0.0,0.0,69.23076999999999
4052,Cindy Dandois,8,3,0,0,"68""",3.13,3.4,58.0,5.0,55.0,0.0,72.72726999999999
